x,y,z
589.0,485.16,860.69
254.65,839.15,203.65
489.54,616.84,678.54
420.5,233.29,711.75
312.36,950.94,349.76
260.43,481.26,27.63
329.28,121.05,859.9
958.9,142.04,268.94
741.38,382.72,355.83
757.2,83.51,320.54
332.63,112.64,183.95
651.87,615.27,352.89
851.85,46.1,144.79
817.89,971.19,649.58
754.25,168.98,916.83
116.76,42.07,802.4
18.24,452.47,162.2
235.49,580.78,119.45
684.67,506.49,229.02
620.31,195.75,724.67
930.39,730.96,112.98
205.03,429.82,663.15
542.47,570.85,829.36
254.39,835.17,558.4
112.43,332.39,998.42
636.83,550.75,576.12
895.97,259.5,154.43
896.0,919.14,765.49
777.64,701.26,594.14
788.56,193.55,387.52
214.34,800.93,22.31
334.6,328.5,666.83
560.0,81.87,870.86
783.79,931.47,792.89
322.07,585.21,726.51
182.0,349.59,26.37
23.93,753.22,642.3
866.81,118.37,487.26
399.32,847.51,26.77
976.53,229.75,920.68
824.29,866.82,12.52
407.12,272.85,139.77
307.31,246.08,358.23
999.79,544.8,889.58
933.7,430.58,443.86
23.84,23.33,244.48
217.82,571.0,737.56
279.25,338.99,922.96
429.7,98.8,436.68
108.93,245.14,871.03
921.16,992.71,913.04
936.25,393.17,712.08
283.4,679.88,754.6
179.15,405.7,278.26
455.51,19.78,954.56
47.79,348.86,875.98
293.58,736.51,320.35
110.1,642.76,171.81
180.71,707.61,815.68
183.94,256.31,344.52
448.85,181.59,15.17
758.35,388.53,103.48
252.54,184.78,503.36
638.77,745.87,367.9
498.08,504.97,690.05
820.53,604.72,865.46
188.58,865.59,180.4
54.0,488.12,474.88
687.55,422.79,260.44
69.46,981.81,665.73
112.7,890.28,684.58
397.88,256.64,589.06
100.31,643.69,843.3
172.74,582.77,642.12
279.8,627.94,230.71
601.93,861.44,711.7
936.31,194.17,162.63
220.1,914.66,874.68
249.57,360.81,925.41
275.61,628.97,913.05
219.33,87.03,975.44
392.41,810.88,482.41
18.43,592.13,703.78
430.19,550.37,796.27
602.29,107.48,145.46
339.07,649.21,60.21
956.59,136.9,341.27
498.99,661.91,643.23
683.15,606.41,162.79
632.0,831.71,183.99
783.74,944.28,962.75
622.52,929.24,786.63
989.54,576.91,567.95
403.64,442.2,422.54
956.63,800.16,560.62
627.09,750.02,940.46
36.29,300.59,486.32
267.15,881.74,906.71
480.37,342.85,140.2
833.57,436.07,23.72
852.17,650.71,631.83
270.39,498.36,95.31
190.25,75.18,618.05
676.93,257.52,216.53
273.84,800.7,346.02
731.39,524.02,126.54
624.78,132.6,706.45
217.62,484.83,286.98
919.67,642.62,960.71
200.51,296.65,196.75
285.22,744.18,116.61
810.36,247.15,445.78
380.7,182.17,106.24
350.5,555.1,17.77
442.58,472.28,8.89
434.84,755.42,669.17
344.54,56.35,655.58
780.09,169.25,741.11
143.68,205.14,417.97
390.55,872.65,92.35
281.23,488.0,135.73
917.92,225.14,703.03
702.07,848.57,535.24
829.61,909.75,160.23
431.21,872.79,694.01
767.57,599.23,443.79
154.73,361.47,189.02
871.59,353.72,954.28
995.99,824.0,399.71
731.96,896.04,267.93
26.62,861.76,364.19
715.95,46.3,624.3
854.43,347.69,531.67
508.2,596.12,51.72
118.8,455.53,565.55
38.85,432.63,212.56
998.66,291.87,979.81
100.47,934.21,500.07
349.82,701.29,576.91
686.84,812.03,505.02
923.65,14.23,779.98
602.04,558.51,768.93
568.27,316.05,594.76
684.54,572.09,983.58
304.78,300.07,366.16
302.85,584.59,62.16
290.0,85.35,489.42
836.91,676.19,93.52
412.1,607.78,241.62
555.91,614.59,639.78
630.44,554.4,224.52
129.81,455.22,332.62
333.8,692.59,759.04
433.79,458.37,656.21
188.2,228.37,587.63
338.56,415.37,30.65
764.82,456.95,379.22
577.24,309.76,206.59
181.46,702.02,12.92
836.07,916.08,458.79
196.92,956.32,746.05
530.66,428.73,574.46
169.26,596.56,462.62
286.3,486.44,99.42
427.95,194.98,107.1
88.29,699.99,692.15
150.28,700.94,952.9
783.8,439.51,223.64
573.75,754.76,811.66
430.01,292.14,238.42
647.21,157.55,499.17
856.47,359.18,405.64
6.62,174.93,233.59
662.24,648.41,811.57
281.0,318.47,626.62
346.32,54.96,51.8
312.31,601.54,607.17
846.08,662.1,764.85
491.1,30.99,997.85
989.47,311.59,856.44
74.17,224.18,1.76
194.06,781.66,877.84
545.18,451.18,974.31
533.7,85.64,230.54
677.39,564.43,980.92
915.55,413.05,649.78
790.27,926.86,910.64
632.7,944.87,91.13
117.83,139.76,204.4
505.64,421.88,408.32
945.8,891.66,680.72
548.5,498.68,872.34
93.2,11.8,307.73
358.45,26.05,744.27
882.66,17.37,828.14
312.56,420.74,318.91
819.15,900.58,743.1
597.86,637.99,83.86
183.76,423.58,808.8
51.06,815.21,549.09
313.86,348.83,45.41
722.75,677.18,677.55
986.19,96.57,658.3
66.38,917.0,573.3
685.39,961.3,27.27
67.04,131.61,858.11
770.94,478.35,586.13
801.33,851.24,279.92
281.67,274.97,885.71
287.57,491.75,759.84
682.17,395.32,815.72
593.42,864.97,551.37
814.73,510.91,775.4
223.07,485.65,91.09
157.71,479.23,169.19
524.48,434.5,853.17
375.93,227.04,475.06
326.84,574.2,170.15
787.06,570.46,159.67
98.76,833.0,380.15
153.34,656.32,0.89
281.49,276.45,448.85
500.06,909.5,35.71
895.52,453.92,873.86
161.25,7.25,388.04
686.51,654.87,328.97
41.68,638.54,261.22
454.53,984.94,101.53
652.63,747.3,265.7
759.02,229.87,840.49
316.42,317.06,368.12
749.27,986.46,907.63
31.23,948.47,277.8
123.6,122.92,442.71
869.64,644.85,343.83
18.12,29.21,420.79
540.47,962.02,286.2
795.88,575.56,806.77
653.52,483.73,622.8
88.3,534.86,486.02
461.45,826.08,483.58
232.84,988.87,850.74
977.67,320.06,516.25
182.01,779.15,690.13
449.7,249.9,368.92
606.59,497.93,312.81
134.28,619.7,508.92
612.42,600.38,611.53
485.55,113.38,846.61
766.51,313.97,330.73
231.48,656.6,881.59
449.93,825.86,798.47
646.36,684.98,829.28
182.37,882.12,813.91
660.43,202.61,530.61
824.59,557.35,150.02
839.65,106.3,513.25
224.74,730.1,476.19
933.68,251.71,336.08
137.07,519.15,387.66
271.53,59.33,955.23
68.33,829.43,986.22
888.1,637.54,985.49
2.49,55.08,465.73
533.42,572.62,427.76
298.23,131.93,84.91
481.07,404.76,880.92
613.52,451.25,878.01
86.89,3.29,472.2
112.06,894.01,76.92
547.28,253.01,551.94
300.45,364.03,732.36
683.99,951.03,374.62
66.16,425.03,318.49
408.87,193.98,374.32
577.19,44.58,930.92
717.01,139.1,475.16
405.56,392.05,923.64
428.28,662.85,308.53
283.38,705.66,727.39
881.92,590.19,670.15
733.0,799.76,790.56
952.98,186.53,358.14
706.5,423.5,784.25
808.6,751.02,300.9
539.45,280.28,801.64
903.26,864.55,389.37
517.33,886.78,974.87
813.03,187.76,358.99
98.09,180.1,10.84
88.65,296.82,730.64
117.5,43.57,548.47
421.85,529.56,223.92
438.01,105.16,414.65
891.37,532.26,39.5
66.11,405.78,400.71
745.18,705.13,174.77
96.48,235.5,251.57
656.13,549.65,720.51
475.56,299.65,952.83
686.74,329.98,616.39
760.53,987.13,652.39
175.86,22.91,172.82
404.15,549.36,980.06
379.33,490.9,468.3
883.1,435.67,684.69
217.34,64.89,925.58
668.25,206.77,612.87
669.58,316.0,614.44
952.07,754.88,855.72
76.99,666.21,123.24
571.11,915.09,672.73
426.15,728.1,984.4
298.97,372.47,976.54
959.41,278.98,507.88
158.2,112.35,136.67
757.37,697.82,315.37
8.66,381.48,755.18
254.76,799.3,522.98
140.27,405.66,467.29
107.43,293.36,177.33
649.09,79.09,221.73
527.37,883.51,341.84
728.92,669.39,356.68
239.93,745.16,812.75
560.26,464.26,731.71
14.97,69.1,938.42
328.67,47.59,430.29
789.21,820.21,69.1
104.36,683.36,836.32
803.26,543.95,985.92
151.88,928.83,181.06
963.43,202.03,599.78
12.68,186.77,614.7
680.08,44.0,71.55
967.96,536.9,558.83
912.02,158.89,723.05
316.0,550.7,621.63
250.75,295.11,411.32
779.51,341.27,578.4
455.01,383.23,574.88
226.43,494.3,436.07
460.03,495.05,395.27
831.47,21.32,918.91
965.61,5.9,781.3
219.6,286.3,336.59
625.86,615.42,620.95
671.26,241.65,812.76
811.61,704.87,241.75
687.04,244.09,302.79
572.44,702.75,80.89
838.33,723.29,374.8
251.74,338.34,796.48
244.18,899.06,616.45
245.44,924.02,487.86
1.79,862.6,649.35
95.43,724.4,281.81
1.04,488.77,921.21
214.84,30.94,29.3
916.4,646.75,954.5
20.4,639.44,322.15
580.46,562.87,736.3
454.58,614.73,633.34
49.99,608.19,131.4
421.83,829.82,709.49
563.62,361.0,68.11
341.15,908.27,917.35
462.96,875.04,788.76
392.21,75.5,331.78
920.39,681.74,279.39
519.48,967.28,619.61
224.26,31.8,651.87
492.68,118.92,615.08
439.98,952.4,710.48
794.48,385.5,910.03
316.72,854.08,154.78
348.72,925.36,138.89
63.61,39.12,608.67
252.65,55.27,956.52
766.89,978.9,731.58
436.51,593.93,897.55
599.58,16.39,1.0
746.76,505.18,237.25
987.23,943.69,908.71
535.12,579.84,409.31
784.94,8.33,490.59
851.61,637.79,607.67
85.76,69.97,293.23
400.02,269.45,238.64
284.12,630.23,639.04
738.96,425.33,748.48
970.76,710.54,90.62
412.01,551.19,403.02
171.99,128.43,76.06
13.47,448.06,341.27
172.73,47.24,463.84
273.77,296.79,499.02
907.16,575.31,938.83
644.3,818.26,389.24
182.66,113.44,909.78
852.56,344.45,367.89
427.38,622.28,614.23
801.44,6.21,912.08
478.27,391.09,951.95
699.79,257.48,462.41
826.14,90.27,818.96
622.01,810.62,475.43
720.34,654.86,546.37
368.36,602.62,322.81
607.07,565.28,366.93
110.96,451.36,342.39
754.3,708.9,983.91
599.03,939.13,3.55
27.25,250.48,440.28
377.14,323.23,479.88
140.58,419.64,587.33
455.97,85.37,800.12
342.33,325.6,1.91
639.06,338.63,725.7
940.41,663.95,669.13
419.88,694.6,73.66
750.1,120.99,453.68
259.9,21.44,719.51
20.28,869.76,659.51
901.1,821.98,539.67
158.05,897.03,573.26
177.65,648.1,428.9
992.21,192.71,4.94
72.88,316.29,446.68
217.99,872.35,260.33
455.28,636.63,767.19
536.79,253.22,522.01
870.96,548.66,452.95
188.25,135.89,116.74
703.38,691.06,721.23
168.92,410.17,736.74
289.02,36.36,523.29
493.08,887.22,377.34
546.26,675.77,349.96
869.73,743.69,489.05
275.27,282.11,686.97
518.48,248.27,761.09
756.44,645.09,608.77
112.17,342.52,912.5
614.02,500.17,660.57
802.79,510.87,467.46
750.2,131.01,998.28
980.2,691.72,762.38
762.71,501.75,792.97
372.94,422.73,840.39
993.38,836.16,912.02
843.59,367.12,291.33
610.2,166.86,178.47
143.28,873.42,177.34
498.2,79.92,59.1
442.58,821.77,891.95
499.03,223.12,635.42
818.32,558.38,290.93
316.07,125.39,476.17
226.68,14.47,942.22
369.9,131.26,33.39
457.37,769.14,632.87
723.25,374.78,444.76
126.7,73.07,385.45
103.58,79.72,539.3
737.24,523.6,933.36
159.21,72.98,20.62
770.14,874.9,437.74
316.08,455.37,264.11
198.29,602.01,478.48
582.64,87.11,814.15
290.45,472.42,354.51
148.45,502.37,545.37
849.62,28.15,528.82
823.8,913.7,212.17
245.94,577.17,734.52
617.28,606.85,41.06
201.86,374.41,321.14
563.28,953.72,807.1
67.84,80.6,59.65
313.74,890.34,755.2
253.15,422.74,268.84
247.02,24.98,168.53
366.11,305.76,1.52
948.37,573.1,161.1
334.49,84.04,447.87
509.19,862.1,130.63
452.24,292.92,661.73
288.57,850.64,803.6
460.88,428.84,227.17
431.47,741.96,629.03
870.57,950.65,772.4
514.59,851.41,114.64
421.95,60.77,290.8
441.32,98.14,859.9
60.27,179.61,290.38
328.76,906.95,359.79
24.79,178.66,548.21
470.28,454.46,224.65
538.33,98.03,309.59
710.67,692.03,188.87
194.87,516.46,312.92
537.48,935.17,732.47
687.68,448.71,256.64
163.02,845.13,873.3
794.09,602.33,349.65
560.75,141.55,640.15
546.62,586.37,934.66
163.4,504.36,852.12
870.31,258.41,576.88
522.64,56.96,216.69
282.84,792.58,327.4
894.63,671.85,127.25
485.96,15.63,541.74
364.09,645.92,552.6
172.24,516.63,351.85
474.56,727.32,113.19
911.76,602.28,46.71
65.39,708.62,649.96
906.49,496.3,767.83
988.33,221.84,190.81
825.85,8.56,988.92
969.58,140.1,867.09
486.82,5.64,622.51
643.15,908.92,256.51
426.96,478.82,383.73
854.84,180.51,268.15
127.82,943.8,974.46
914.32,492.37,928.74
636.82,478.82,203.45
377.66,849.8,840.31
866.0,586.4,751.05
95.43,830.14,797.01
689.3,843.77,12.32
668.6,388.4,528.24
105.2,430.98,160.57
363.94,646.78,756.77
447.12,935.84,598.72
624.45,636.4,708.32
119.46,707.98,952.37
24.23,770.4,443.5
295.57,745.94,798.75
565.0,643.07,792.09
769.74,294.38,948.22
691.55,237.74,600.03
151.5,537.5,952.75
374.02,392.49,87.9
973.94,527.17,106.57
305.01,845.49,134.01
102.51,170.01,40.65
981.9,149.58,663.91
833.62,795.9,385.94
374.92,276.2,21.91
785.0,16.85,211.61
665.96,160.94,402.99
229.06,405.54,73.53
402.26,495.9,46.44
446.58,294.67,502.07
524.39,241.27,819.54
231.38,158.03,517.6
883.11,249.38,595.39
232.45,259.81,73.47
740.25,171.76,111.17
766.35,749.96,936.44
986.18,799.73,204.35
106.43,196.4,569.26
584.7,469.06,222.71
813.15,999.85,117.72
617.78,928.12,345.33
788.21,702.91,462.97
980.73,373.37,232.05
341.84,447.12,527.14
315.19,337.8,71.08
949.42,739.55,471.78
388.82,170.79,673.82
100.32,913.13,705.48
767.61,128.25,563.24
759.39,820.79,242.04
399.06,957.02,835.21
220.72,49.11,571.16
713.58,480.41,811.51
135.05,926.07,667.66
517.19,95.26,727.75
829.06,538.87,403.34
29.83,101.34,893.47
131.94,57.38,302.64
656.0,734.72,752.92
927.18,155.96,2.33
784.09,164.38,831.32
568.92,196.27,295.48
782.26,403.08,87.75
325.09,344.83,302.12
991.59,555.86,199.62
365.26,657.32,603.14
127.22,178.18,914.69
976.23,539.29,8.88
155.16,656.68,143.22
872.83,721.06,9.63
788.55,618.26,51.13
355.9,515.17,902.28
358.49,974.74,279.79
937.12,433.3,215.84
319.21,567.88,275.12
834.95,596.25,360.76
363.84,328.35,289.66
973.0,799.08,42.54
949.69,750.59,11.1
459.44,6.69,993.25
288.57,743.19,268.22
210.28,344.49,2.87
904.34,940.11,419.38
702.43,766.88,268.61
382.09,589.07,740.32
850.94,216.25,899.52
382.96,166.32,163.19
60.54,685.51,681.78
5.7,685.9,482.47
3.58,606.43,403.48
593.71,696.06,640.71
513.13,629.48,198.76
610.9,45.81,617.5
149.43,265.45,946.63
330.86,158.39,309.24
36.98,299.56,700.19
748.48,15.33,245.47
983.93,870.33,394.35
782.09,874.61,256.19
114.33,469.77,43.66
634.38,970.26,810.49
153.66,629.3,67.87
65.96,163.73,909.76
488.79,561.8,238.72
239.64,670.61,566.95
697.45,583.14,756.91
589.04,751.85,207.48
684.13,216.9,234.53
216.4,120.56,72.9
433.97,620.07,91.38
486.35,167.85,14.18
1.68,287.95,218.5
304.16,392.78,574.7
609.46,863.94,373.06
26.32,762.82,279.66
589.33,618.61,626.82
205.57,479.6,37.87
772.1,827.91,258.51
628.75,996.8,998.38
559.97,245.06,73.08
74.57,66.97,912.46
966.16,671.06,284.64
178.23,648.96,460.27
975.26,609.65,972.1
50.38,677.53,799.14
996.33,778.26,219.61
956.17,295.75,792.42
90.79,458.91,294.2
902.09,654.88,130.68
953.01,295.11,346.68
191.85,914.52,735.02
205.8,810.34,658.5
516.47,237.12,854.13
290.98,721.9,82.97
22.65,376.46,952.54
427.53,653.03,820.1
670.55,882.97,829.3
805.36,971.81,545.47
926.57,614.16,373.81
215.65,483.07,826.24
7.87,562.22,621.43
914.59,852.93,986.28
859.64,776.97,481.86
326.06,449.63,549.87
980.45,68.0,10.73
938.58,689.68,227.18
432.67,544.88,419.26
526.05,606.77,748.71
207.26,786.46,103.5
707.85,484.46,111.52
645.53,553.65,302.25
539.82,148.59,483.7
965.56,367.91,372.32
99.03,909.21,173.0
366.75,651.51,896.59
272.29,975.91,697.42
572.59,429.68,1.54
810.83,981.45,272.17
662.33,271.05,635.71
394.82,337.54,431.16
1.31,729.57,774.59
750.7,47.69,573.63
526.93,145.73,420.36
168.42,18.82,541.81
633.33,354.31,57.57
690.14,316.31,334.91
452.61,730.52,329.16
954.81,380.84,444.59
180.06,291.4,781.25
807.11,181.14,529.51
648.55,668.94,151.58
705.62,421.39,778.01
630.44,272.61,697.41
531.75,803.92,633.11
804.71,61.73,378.71
372.49,322.53,276.03
140.65,472.01,131.33
33.64,30.94,3.69
823.74,118.49,837.21
145.61,582.7,786.15
825.35,532.83,126.46
587.41,478.37,273.55
759.81,872.03,384.91
557.27,19.8,263.67
701.18,131.89,781.62
896.15,60.34,575.67
604.2,87.31,823.78
10.83,534.23,589.61
564.5,919.56,202.64
367.82,697.7,185.66
376.09,948.27,590.17
529.9,278.64,530.09
858.74,581.05,634.16
903.57,457.62,345.72
719.19,144.21,150.38
353.01,262.67,754.48
56.33,743.12,887.89
702.54,821.8,922.89
919.05,529.35,987.69
326.47,813.52,773.59
144.83,782.23,275.8
508.08,11.52,134.27
683.78,359.74,44.72
933.62,198.81,449.03
238.97,103.52,803.64
398.66,614.05,483.47
660.22,700.95,111.48
947.74,883.55,149.98
87.31,222.62,153.78
549.15,624.36,815.28
677.3,573.13,164.01
392.63,96.9,656.79
725.48,199.86,934.02
388.11,22.72,616.9
939.71,27.07,204.08
809.08,691.77,252.18
54.54,17.26,874.88
397.25,344.09,418.78
189.44,957.51,811.72
148.63,496.83,920.19
986.58,925.27,368.51
647.25,216.73,830.98
274.18,239.64,762.34
494.63,511.34,304.27
92.65,328.75,624.87
71.27,980.91,389.76
816.3,893.46,354.11
808.02,881.4,415.31
84.72,426.99,737.61
369.97,991.23,772.05
891.4,76.08,160.82
519.28,902.34,502.32
532.23,684.97,322.95
909.67,753.86,183.44
330.99,524.05,859.15
749.08,521.74,612.29
96.98,621.9,131.75
129.9,240.94,866.55
710.93,232.26,761.97
395.62,919.72,937.14
157.27,999.98,827.03
546.1,859.59,618.52
372.9,379.43,932.46
998.97,111.6,217.58
981.31,308.9,401.08
723.28,635.87,949.38
18.93,500.94,719.2
377.51,531.66,710.48
436.73,529.52,3.89
128.12,190.52,263.22
623.27,64.6,44.8
810.02,26.54,109.72
196.38,807.32,717.76
651.72,393.28,53.23
14.95,714.41,498.33
78.06,9.82,115.23
915.42,403.15,272.0
569.55,588.77,376.39
364.94,67.88,149.05
562.11,850.63,424.92
166.63,882.56,692.17
17.97,156.0,549.44
212.8,911.25,324.72
450.18,633.33,438.19
669.03,771.24,544.8
672.04,901.3,306.36
322.04,405.6,985.44
436.88,713.75,803.96
651.98,25.32,165.27
707.43,856.01,806.53
402.8,13.12,645.51
214.64,216.41,420.28
203.84,862.89,395.9
187.05,426.83,451.19
869.19,157.3,124.89
912.02,298.29,403.89
216.37,63.7,402.15
461.53,748.57,886.57
715.35,629.58,357.61
9.95,911.61,474.34
961.11,972.46,891.56
517.85,524.48,878.83
259.25,527.13,932.25
949.52,478.39,967.07
88.95,706.32,797.45
10.85,615.87,365.23
403.2,726.41,138.96
756.21,87.06,562.55
495.62,569.47,761.44
413.66,285.33,659.6
907.25,577.67,133.59
722.32,749.78,572.6
553.01,595.44,165.14
625.38,876.75,643.14
522.02,59.9,473.59
38.22,619.68,282.2
982.06,330.37,467.73
141.95,792.28,649.26
306.35,864.88,776.06
50.5,561.4,697.13
978.78,695.02,332.66
22.59,934.09,403.25
8.35,440.26,111.31
922.17,209.83,114.53
702.58,258.74,456.44
5.67,659.68,81.5
331.91,363.4,133.49
527.92,167.53,206.96
256.7,358.75,817.14
657.2,296.79,119.22
657.78,708.82,943.95
30.69,90.7,83.97
570.3,964.14,757.75
811.66,241.18,397.77
147.7,796.32,253.84
600.74,705.24,452.15
227.01,918.04,110.15
41.1,933.01,565.86
12.1,269.1,589.99
216.31,615.65,24.6
912.79,963.01,146.75
660.89,259.39,568.72
862.86,50.65,652.58
597.49,714.81,6.57
134.2,142.88,3.12
989.6,12.8,778.96
234.89,304.78,194.4
49.32,426.75,431.62
544.6,755.91,151.12
368.36,789.17,951.34
318.64,946.66,540.89
467.44,914.15,391.6
407.48,136.41,376.72
949.05,252.63,736.2
647.97,514.86,249.75
892.23,837.75,441.96
962.74,155.95,658.98
401.91,304.29,831.7
178.07,616.35,656.54
966.32,537.16,517.55
677.44,827.3,372.22
595.14,567.32,385.01
315.09,203.71,466.57
65.01,809.5,25.8
577.3,911.37,169.6
316.44,750.49,451.83
577.61,18.26,635.37
308.83,742.98,32.57
671.11,638.44,987.56
506.2,408.73,531.28
683.76,61.27,139.35
590.63,455.31,524.84
396.66,300.51,815.72
512.86,328.2,233.4
157.49,514.74,508.32
68.02,940.99,966.28
250.06,933.11,918.45
699.98,303.83,716.43
82.03,46.53,131.76
134.56,496.96,334.36
667.68,314.22,812.31
727.79,378.19,250.42
236.99,666.9,261.12
743.71,771.3,189.45
690.2,778.86,907.41
490.08,381.01,306.03
539.02,283.54,407.55
149.55,378.96,189.07
15.81,326.5,136.48
646.28,197.01,741.56
935.71,626.23,0.21
439.27,970.99,782.1
949.95,311.72,771.64
262.38,700.19,297.24
308.97,903.07,32.11
252.81,786.09,164.23
783.08,22.53,303.11
157.63,817.3,138.55
273.57,165.61,437.23
193.51,270.66,818.09
206.93,279.52,102.69
767.83,469.59,228.2
425.43,258.18,239.73
827.45,719.8,960.63
107.15,261.17,555.42
151.98,18.83,420.46
477.64,889.85,453.85
960.75,227.61,245.33
567.67,134.34,343.86
700.52,864.31,882.9
619.52,260.47,260.1
423.23,986.72,33.43
651.57,161.61,395.14
533.47,506.6,412.78
733.85,489.74,939.02
61.84,162.58,517.04
703.38,566.44,299.24
649.77,796.79,765.29
777.73,675.23,631.5
227.15,21.5,464.73
992.7,90.6,797.02
879.85,661.88,920.76
262.41,531.16,539.78
49.2,211.14,906.83
853.17,500.38,938.12
156.93,934.12,629.11
724.8,238.37,751.66
7.78,467.98,530.21
875.21,636.22,302.96
786.49,534.84,800.8
41.87,312.09,290.05
680.65,1.73,224.52
638.21,47.23,328.49
850.29,101.16,629.23
621.06,710.97,482.46
599.07,94.7,959.76
413.3,898.53,797.27
980.1,353.26,168.04
482.67,970.1,114.87
341.43,24.53,795.15
326.9,111.31,286.34
753.93,480.72,355.37
403.49,321.22,347.19
747.21,569.39,968.56
11.21,435.86,872.82
527.31,938.21,502.03
223.01,665.85,644.73
24.67,789.32,818.75
411.56,768.48,864.78
476.14,172.45,514.85
592.09,855.26,602.23
470.12,641.51,420.27
381.81,161.05,172.52
761.24,410.8,678.84
919.74,59.78,862.36
555.26,453.36,790.16
486.11,428.28,650.43
560.34,449.53,663.9
524.65,376.97,178.38
757.9,415.16,569.3
538.7,161.83,168.21
845.58,569.21,217.89
539.98,779.01,481.5
859.16,437.7,740.69
931.31,126.01,757.84
849.13,60.92,507.04
719.68,773.58,504.04
976.77,428.73,273.61
685.36,482.83,866.68
409.42,766.35,788.98
35.81,106.16,712.44
892.72,387.34,233.52
584.51,370.67,894.85
991.51,196.86,974.44
231.98,507.03,749.09
199.75,128.67,903.49
898.46,993.69,38.44
424.98,708.37,256.12
55.4,409.06,996.17
255.77,589.53,696.51
730.03,926.01,532.76
274.03,286.26,825.97
181.29,314.34,69.29
436.69,254.7,383.9
801.27,401.65,656.2
743.7,343.87,403.01
161.07,884.93,514.7
940.1,863.66,692.72
566.76,262.07,828.21
140.68,441.22,532.33
397.85,649.96,655.09
977.11,589.54,665.84
200.22,843.39,735.71
190.25,484.37,225.69
819.69,557.67,839.1
80.92,409.9,161.39
34.29,923.32,879.99
838.42,801.6,864.49
478.1,184.36,326.62
274.79,81.21,530.51
730.97,329.37,320.37
951.25,729.56,467.55
790.81,448.82,682.91
470.03,673.28,484.09
931.21,682.08,789.24
524.02,862.1,842.65
634.41,125.43,419.34
662.38,10.52,292.6
714.74,855.86,619.68
660.84,324.32,1.61
11.39,445.33,308.59
416.09,4.64,513.65
191.22,213.96,266.03
20.4,962.68,955.37
89.73,510.44,106.71
130.07,350.16,720.26
274.48,149.69,509.52
133.88,171.91,232.53
610.07,896.09,170.22
630.17,665.56,927.87
543.34,215.27,626.21
364.76,1.28,509.29
772.69,432.3,640.4
210.64,135.03,159.31
325.45,880.58,999.84
270.42,813.91,502.4
857.34,113.46,540.92
637.01,455.51,271.04
453.47,546.62,442.94
957.15,296.22,977.41
995.04,594.46,227.39
46.05,747.73,190.89
500.46,792.98,590.35
110.17,553.05,285.49
647.11,496.93,99.55
236.81,545.72,862.54
38.14,429.2,935.73
241.27,849.87,238.39
858.09,81.11,204.16
58.91,71.31,644.95
226.24,439.12,349.8
491.78,685.74,405.08
211.63,171.76,314.76
605.88,511.01,25.23
394.85,634.28,14.61
399.8,937.74,783.21
544.94,882.94,328.53
101.44,132.71,853.68
15.29,432.61,522.93
321.8,529.99,597.76
678.21,295.4,66.46
958.15,360.34,264.58
402.9,116.46,647.65
436.04,153.8,18.08
603.48,425.77,449.69
833.43,137.19,330.9
305.31,933.08,828.19
76.58,749.0,740.9
582.54,635.66,10.48
